market,symbol,unix,open,high,low,close,volume
USDM,BTC/USDT,1669924500000,16945.9,16947.7,16939.5,16945.4,269.46
USDM,BTC/USDT,1669924800000,16945.5,16948.6,16941.5,16946.7,414.783
USDM,BTC/USDT,1669925100000,16946.6,16951.5,16941.4,16947.2,407.938
USDM,BTC/USDT,1669925400000,16947.1,16949.6,16941.4,16944.9,286.41
USDM,BTC/USDT,1669925700000,16944.9,16956.1,16944.8,16956.1,437.774
USDM,BTC/USDT,1669926000000,16956.1,16959.1,16947.6,16955.0,385.958
USDM,BTC/USDT,1669926300000,16954.9,16955.0,16939.5,16939.6,312.56
USDM,BTC/USDT,1669926600000,16939.6,16948.3,16934.1,16940.8,452.724
USDM,BTC/USDT,1669926900000,16940.7,16940.8,16926.4,16935.1,502.333
USDM,BTC/USDT,1669927200000,16935.1,16939.5,16920.6,16939.5,1204.702
USDM,BTC/USDT,1669927500000,16939.5,16939.5,16917.0,16920.8,522.217
USDM,BTC/USDT,1669927800000,16920.7,16924.5,16914.3,16917.4,725.481
USDM,BTC/USDT,1669928100000,16917.5,16920.0,16903.3,16910.6,692.115
USDM,BTC/USDT,1669928400000,16910.6,16910.7,16851.2,16884.7,5410.847
USDM,BTC/USDT,1669928700000,16884.8,16888.0,16862.2,16876.7,1169.029
USDM,BTC/USDT,1669929000000,16876.7,16890.9,16876.3,16890.1,1103.458
USDM,BTC/USDT,1669929300000,16890.1,16919.3,16887.4,16912.3,1809.63
USDM,BTC/USDT,1669929600000,16912.3,16916.9,16901.6,16906.1,607.099
USDM,BTC/USDT,1669929900000,16906.0,16915.4,16901.0,16907.5,562.846
USDM,BTC/USDT,1669930200000,16907.5,16918.8,16904.1,16911.1,508.164
USDM,BTC/USDT,1669930500000,16911.1,16916.6,16900.0,16903.1,478.966
USDM,BTC/USDT,1669930800000,16903.1,16912.1,16896.4,16912.1,549.395
USDM,BTC/USDT,1669931100000,16912.1,16924.8,16905.3,16923.6,572.295
USDM,BTC/USDT,1669931400000,16923.5,16932.0,16918.6,16927.7,716.925
USDM,BTC/USDT,1669931700000,16927.7,16930.5,16917.5,16917.5,647.527
USDM,BTC/USDT,1669932000000,16917.5,16925.8,16915.4,16923.1,507.881
USDM,BTC/USDT,1669932300000,16923.1,16934.0,16923.1,16930.0,487.065
USDM,BTC/USDT,1669932600000,16929.9,16931.0,16924.1,16931.0,562.151
USDM,BTC/USDT,1669932900000,16930.9,16942.0,16930.4,16940.7,747.006
USDM,BTC/USDT,1669933200000,16940.9,16982.4,16936.8,16943.9,2960.521
USDM,BTC/USDT,1669933500000,16944.0,16944.0,16925.5,16933.0,819.11
USDM,BTC/USDT,1669933800000,16932.9,16963.6,16932.9,16963.2,1173.932
USDM,BTC/USDT,1669934100000,16963.1,16963.1,16947.3,16947.3,578.12
USDM,BTC/USDT,1669934400000,16947.3,16954.9,16946.6,16951.1,332.52
USDM,BTC/USDT,1669934700000,16951.1,16961.0,16951.0,16960.9,328.518
USDM,BTC/USDT,1669935000000,16960.9,16961.0,16947.6,16956.2,579.153
USDM,BTC/USDT,1669935300000,16956.3,16967.4,16955.1,16955.2,420.682
USDM,BTC/USDT,1669935600000,16955.1,16968.0,16942.9,16958.1,820.286
USDM,BTC/USDT,1669935900000,16958.1,16958.8,16942.9,16943.1,635.781
USDM,BTC/USDT,1669936200000,16943.1,16955.5,16942.9,16950.8,414.564
USDM,BTC/USDT,1669936500000,16950.7,16957.4,16945.4,16950.5,528.673
USDM,BTC/USDT,1669936800000,16950.5,16950.6,16930.9,16942.0,849.609
USDM,BTC/USDT,1669937100000,16941.9,16947.6,16934.4,16941.8,500.583
USDM,BTC/USDT,1669937400000,16941.9,16953.0,16933.3,16949.2,504.26
USDM,BTC/USDT,1669937700000,16949.3,16967.5,16949.2,16960.2,565.568
USDM,BTC/USDT,1669938000000,16960.3,16960.3,16948.5,16949.0,342.284
USDM,BTC/USDT,1669938300000,16948.9,16951.9,16941.5,16943.3,348.73
USDM,BTC/USDT,1669938600000,16943.3,16952.5,16943.3,16949.1,245.064
USDM,BTC/USDT,1669938900000,16949.1,16971.1,16949.0,16970.5,576.039
USDM,BTC/USDT,1669939200000,16970.5,16976.0,16957.4,16957.5,1305.456
USDM,BTC/USDT,1669939500000,16957.5,16967.0,16952.7,16954.9,573.306
USDM,BTC/USDT,1669939800000,16954.9,16960.0,16949.0,16954.1,565.336
USDM,BTC/USDT,1669940100000,16954.1,16961.4,16946.9,16961.3,534.814
USDM,BTC/USDT,1669940400000,16961.3,16968.4,16958.9,16966.6,455.067
USDM,BTC/USDT,1669940700000,16966.5,16973.1,16961.3,16961.3,360.438
USDM,BTC/USDT,1669941000000,16961.3,16972.4,16956.1,16959.8,480.63
USDM,BTC/USDT,1669941300000,16959.7,16977.0,16956.0,16971.6,983.474
USDM,BTC/USDT,1669941600000,16971.5,16983.2,16967.9,16980.8,1029.535
USDM,BTC/USDT,1669941900000,16980.7,16980.8,16970.5,16978.5,654.287
USDM,BTC/USDT,1669942200000,16978.5,16998.7,16973.8,16995.9,1657.949
USDM,BTC/USDT,1669942500000,16995.9,17035.3,16990.7,17028.3,4352.943
USDM,BTC/USDT,1669942800000,17028.4,17038.0,16991.1,17005.3,2348.997
USDM,BTC/USDT,1669943100000,17005.2,17010.4,16993.6,17000.0,730.377
USDM,BTC/USDT,1669943400000,17000.1,17002.4,16980.5,16994.0,928.545
USDM,BTC/USDT,1669943700000,16993.9,16996.3,16978.0,16981.0,610.285
USDM,BTC/USDT,1669944000000,16981.1,16982.6,16969.0,16977.2,888.222
USDM,BTC/USDT,1669944300000,16977.1,16986.4,16976.1,16981.5,428.225
USDM,BTC/USDT,1669944600000,16981.5,16987.0,16975.3,16978.4,343.091
USDM,BTC/USDT,1669944900000,16978.5,16980.0,16953.8,16954.6,724.914
USDM,BTC/USDT,1669945200000,16954.5,16957.3,16936.2,16939.1,1235.927
USDM,BTC/USDT,1669945500000,16939.1,16939.2,16861.2,16885.9,6050.627
USDM,BTC/USDT,1669945800000,16885.9,16916.8,16863.6,16916.6,2579.773
USDM,BTC/USDT,1669946100000,16916.7,16923.4,16905.6,16917.0,1014.481
USDM,BTC/USDT,1669946400000,16916.9,16929.9,16916.8,16925.7,1086.229
USDM,BTC/USDT,1669946700000,16925.7,16925.8,16891.0,16905.0,1352.694
USDM,BTC/USDT,1669947000000,16905.0,16906.0,16852.4,16864.8,2491.281
USDM,BTC/USDT,1669947300000,16864.8,16900.0,16856.0,16897.2,1854.364
USDM,BTC/USDT,1669947600000,16897.3,16910.0,16894.3,16909.9,1002.543
USDM,BTC/USDT,1669947900000,16910.0,16920.0,16905.2,16908.4,874.337
USDM,BTC/USDT,1669948200000,16908.4,16919.3,16901.0,16919.3,552.961
USDM,BTC/USDT,1669948500000,16919.2,16934.6,16913.4,16921.6,1026.152
USDM,BTC/USDT,1669948800000,16921.7,16923.4,16895.8,16905.0,1181.963
USDM,BTC/USDT,1669949100000,16904.9,16905.0,16882.2,16888.3,917.439
USDM,BTC/USDT,1669949400000,16888.3,16899.6,16885.0,16896.3,518.034
USDM,BTC/USDT,1669949700000,16896.3,16921.4,16890.1,16913.1,1141.904
USDM,BTC/USDT,1669950000000,16913.1,16918.2,16908.2,16918.1,388.325
USDM,BTC/USDT,1669950300000,16918.1,16919.1,16913.9,16916.5,277.097
USDM,BTC/USDT,1669950600000,16916.5,16922.5,16913.9,16921.7,386.552
USDM,BTC/USDT,1669950900000,16921.7,16923.0,16912.6,16916.0,474.547
USDM,BTC/USDT,1669951200000,16916.1,16920.9,16895.0,16899.5,908.573
USDM,BTC/USDT,1669951500000,16899.4,16903.9,16887.7,16889.5,611.513
USDM,BTC/USDT,1669951800000,16889.6,16896.1,16887.9,16892.6,491.952
